FriendlyName,SKU,Arch,Generation,Desktop,ProductKey,Image,SHA1,Version,Notes
Windows Server 2016 DataCenter with GUI,ServerDataCenter,x64,2,FALSE,,en_windows_server_2016_technical_preview_5_x64_dvd_8512312.iso,,10,
Windows Server 2016 DataCenter,ServerDataCenterCore,x64,2,FALSE,,en_windows_server_2016_technical_preview_5_x64_dvd_8512312.iso,,10,
Windows Server 2016 Standard with GUI,ServerStandard,x64,2,FALSE,,en_windows_server_2016_technical_preview_5_x64_dvd_8512312.iso,,10,
Windows Server 2016 Standard,ServerStandardCore,x64,2,FALSE,,en_windows_server_2016_technical_preview_5_x64_dvd_8512312.iso,,10,
Windows Server 2012 R2 DataCenter with GUI,ServerDataCenter,x64,2,FALSE,,en_windows_server_2012_r2_with_update_x64_dvd_6052708.iso,,6.3,
Windows Server 2012 R2 DataCenter Core,ServerDataCenterCore,x64,2,FALSE,,en_windows_server_2012_r2_with_update_x64_dvd_6052708.iso,,6.3,
Windows Server 2012 R2 Standard Core,ServerStandard,x64,2,FALSE,,en_windows_server_2012_r2_with_update_x64_dvd_6052708.iso,,6.3,
Windows Server 2012 R2 Standard with GUI,ServerStandard,x64,2,FALSE,,en_windows_server_2012_r2_with_update_x64_dvd_6052708.iso,,6.3,
Windows Server 2012 DataCenter Core,ServerDataCenterCore,x64,2,FALSE,,,,6.2,
Windows Server 2012 Standard with GUI,ServerStandard,x64,2,FALSE,,,,6.2,
Windows Server 2008 R2 Standard with GUI,ServerStandard,x64,2,FALSE,,,,6.2,
Windows Server 2012 Standard Core,ServerStandardCore,x64,2,FALSE,,,,6.2,
Windows Server 2008 R2 DataCenter Core,ServerDataCenter,x64,2,FALSE,,,,6.1,
Windows Server 2008 R2 DataCenter with GUI,ServerDataCenter,x64,2,FALSE,,,,6.1,
Windows Server 2008 R2 Standard Core,ServerStandard,x64,2,FALSE,,,,6.1,
Windows 10 Enterprise,Enterprise,x64,2,TRUE,,,,10,
Windows 10 Enterprise LTSB,Enterprise,x64,2,TRUE,,,,10,
Windows 10 Enterprise 2016 LTSB,Enterprise,x64,2,TRUE,,,,10,
Windows 10 Professional,Professional,x64,2,TRUE,,,,10,
Windows 8.1 Professional,Professional,x64,2,TRUE,,,,6.3,
Windows 8.1 Professional,Professional,x64,2,TRUE,,,,6.3,
Windows 8 Enterprise,Enterprise,x64,2,TRUE,,en_windows_8_enterprise_x64_dvd_917522.iso,4EADFE83E736621234C63E8465986F0AF6AA3C82,6.2,
Windows 8 Professional,Professional,x64,2,TRUE,,,,6.2,
Windows 7 Professional,Professional,x64,2,TRUE,,en_windows_7_professional_with_sp1_x64_dvd_u_676939.iso,,6.1,
Windows 7 Ultimate,Ultimate,x64,2,TRUE,,en_windows_7_ultimate_with_sp1_x64_dvd_u_677332.iso,36AE90DEFBAD9D9539E649B193AE573B77A71C83,6.1,
